'NazevZarizeni','Obec'
'BRISTOL GROUP s.r.o.','Karlovy Vary'
'BRISTOL GROUP s.r.o.','Karlovy Vary'
'BRISTOL GROUP s.r.o.','Karlovy Vary'
'MUDr. MOHAMED MOHAMED MOHAMED AL-TASHI Ph.D.','Karlovy Vary'
'Dentalcentre.cz s.r.o.','Karlovy Vary'
'FRANTIŠEK KLINGORA','Karlovy Vary'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','Karlovy Vary'
'Medikeo Ambulance s.r.o.','Karlovy Vary'
'MIRODENT IMPLANTS LABOR CLINIC s.r.o.','Karlovy Vary'
'FyzioKV s.r.o.','Karlovy Vary'
'FOKUS optik a.s.','Karlovy Vary'
'FOKUS optik a.s.','Karlovy Vary'
'MUDr. Markéta Grundlerová','Karlovy Vary'
'MUDr. Ludwig Terk','Karlovy Vary'
'Zuzana Šperlová','Karlovy Vary'
'MUDr. Šárka Bendová','Karlovy Vary'
'Interpharmac, s.r.o., Lékárna ipc U Rolavy','Karlovy Vary'
'AMBULANCE MEDITRANS s.r.o.','Karlovy Vary'
'BENU Česká republika s.r.o., BENU lékárna','Karlovy Vary'
'Sárová s.r.o.','Karlovy Vary'
'ARMANDI THERAPY CLINIC s.r.o.','Karlovy Vary'
'MDDr. Martin Starý','Karlovy Vary'
'Amber Plasma a.s.','Karlovy Vary'
'Elena Stěpanova','Karlovy Vary'
'Polyviana Olha','Karlovy Vary'
'Dětský lékař LKS s.r.o.','Karlštejn'
'SYLVIE JANÁČKOVÁ','Karolinka'
'Oční centrum Vista s.r.o.','Karolinka'
'Město Karolinka','Karolinka'
'Sociální služby Vsetín, příspěvková organizace, fyzioterapie','Karolinka'
'Psychiatrievalmez s.r.o.','Karolinka'
'PROCEVA - cévní interní ambulance, s.r.o.','Karviná'
'Glanc Optik s.r.o.','Karviná'
'Moravian Premium Care a.s.','Karviná'
'Lékárna AQUA s.r.o.','Karviná'
'SPADIA LAB, a.s.','Karviná'
'MUDr. Ludmila Kohanová s.r.o.','Karviná'
'Dental G&G s.r.o.','Karviná'
'MUDr. Evžen Vašulín','Karviná'
'Kiampava s.r.o.','Karviná'
'KARDIO - NET s.r.o.','Karviná'
'Domácí péče MAJKA s.r.o.','Karviná'
'Zubní péče MDDr. Jan Lapiš s.r.o.','Karviná'
'Mgr. Lenka Dostalíková s.r.o.','Karviná'
'Logopedie Krhovják s.r.o.','Karviná'
'Logopedie Krhovják s.r.o.','Karviná'
'Lékárna TRIO, spol. s r.o.','Karviná'
'MUDr. Sylva Piegzová s.r.o.','Karviná'
'Revimex pro s.r.o.','Karviná'
'Stoldent s.r.o.','Karviná'
'Nemocnice ve Frýdku-Místku, příspěvková organizace, ambulance revmatologie','Karviná'
'Dětská neurologie MUDr. Matúš s.r.o.','Karviná'
'SLEZSKÁ UROLOGIE s.r.o.','Karviná'
'KARDIO - NET s.r.o.','Karviná'
'sanaplasma s.r.o.','Karviná'
'ORTOPKA U JURKA s.r.o.','Karviná'
'DENTALCOMPLEX - CEREC SYSTÉM s.r.o.','Karviná'
'DSlaborator s.r.o.','Karviná'
'DSlaborator s.r.o.','Karviná'
'ORL Lékař KA s.r.o.','Karviná'
'MEDESA care s.r.o.','Karviná'
'OKD, a.s.','Karviná'
'SLEZSKÁ HUMANITA, obecně prospěšná společnost','Karviná'
'Benjamín, příspěvková organizace','Karviná'
'Slezská diakonie','Karviná'
'Nový domov, příspěvková organizace','Karviná'
'Domov Alzheimer Darkov z.ú.','Karviná'
'MUDr. Jana Poledňáková','Karviná'
'Pavla Kasparková','Karviná'
'Dr. Martin Konečný s.r.o.','Karviná'
'Lázně Darkov a.s., Rehabilitační sanatorium','Karviná'
'MOJE AMBULANCE a.s.','Karviná'
'ČESKÁ OČNÍ OPTIKA HOLDING a.s.','Karviná'
'MUDr. MARIAN CZUDEK','Karviná'
'AeskuLab k.s., odběrová místnost','Karviná'
'FOKUS optik a.s.','Karviná'
'MUDr. Lenka Vágnerová','Karviná'
'GYNET AH spol. s r.o.','Karviná'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','Karviná'
'sakardio s.r.o.','Karviná'
'BENU Česká republika s.r.o., BENU lékárna, OC Kaufland','Karviná'
'Ordinace Kukucz s.r.o.','Karviná'
'MUDr. Petr Skřížala','Karviná'
'MUDr. et MDDr. Lenka Štrosová','Kasejovice'
'Oblastní nemocnice Mladá Boleslav, a.s., nemocnice Středočeského kraje, ambulance gynekologie','Katusice'
'MUDr. Petra Rumlová','Kaznějov'
'Jaromír Tříska','Kaznějov'
'STONA zubní laboratoř s.r.o.','Kaznějov'
'Mgr. Petra Kocfeldová','Kašava'
'SANAFEM s.r.o.','Kdyně'
'PL Sláma s.r.o.','Kdyně'
'MUDr. Miroslav Kubiska','Kdyně'
'Rehabilitace Kdyně s.r.o.','Kdyně'
'MUDr. Miroslav Kubiska','Kdyně'
'Město Kdyně, domácí péče','Kdyně'
'Bc. Karolína Flídrová','Kdyně'
'Kdyňské ambulantní zdravotnické zařízení s.r.o.','Kdyně'
'MDDr. Markéta Janečková s.r.o.','Kdyně'
'PRAXILEKO s.r.o.','Kladky'
'PSYCHOCENTRUM HABEŠOVNA s.r.o.','Kladno'
'MDDr. Alice Tauer','Kladno'
'ANTI CA, s.r.o.','Kladno'
'Dětská ordinace Kročehlavy, s.r.o.','Kladno'
'Limed s.r.o.','Kladno'
'MUDr. Světluše Najmanová','Kladno'
'BENU Česká republika s.r.o., BENU Lékárna','Kladno'
'ORP CENTRUM s.r.o.','Kladno'
'Limed s.r.o.','Kladno'
'Náš zubař s.r.o.','Kladno'
'ZiNa clinic s.r.o.','Kladno'
'Radim Král','Kladno'
'MUDr. Robert Levý','Kladno'
'MUDr. Jindřich Křepelka','Kladno'
'MUDr. Tomáš Janďourek s.r.o.','Kladno'
'MUDr. Martin Houdek','Kladno'
'Praktický zubní lékař Kladno, s.r.o.','Kladno'
'ORL Müllerová s.r.o.','Kladno'
'ORL - Čuba s.r.o.','Kladno'
'MEDIKET s.r.o.','Kladno'
'Oblastní nemocnice Kladno, a.s., nemocnice Středočeského kraje, odběrová místnost','Kladno'
'Dětská neurologie Kladno s.r.o.','Kladno'
'JASUPREN s.r.o.','Kladno'
'DentProtect s.r.o.','Kladno'
'DentProtect s.r.o.','Kladno'
'Alena Tihanová,  DiS.','Kladno'
'Dentální klinika Kladno s.r.o.','Kladno'
'Dentnap Kladno s.r.o.','Kladno'
'J.N.System s.r.o.','Kladno'
'Meditrine - Cardionides s.r.o.','Kladno'
'GYNOPORT spol. s r.o.','Kladno'
'MUDr. KATEŘINA HUBAČOVÁ','Kladno'
'Jitka Hrkalová','Kladno'
'Stomatologie Kladno s.r.o.','Kladno'
'Bc. JANA SKOUMALOVÁ','Kladno'
'Home Care Rite s.r.o.','Kladno'
'KEYSEC PROTECT s.r.o.','Kladno'
'Pharm.Dr. Jana Svobodová, Výdejna zdravotnických prostředků','Kladno'
'MUDr. IVA BARONOVÁ','Kladno'
'Mgr. KAROLÍNA VIDUNOVÁ','Kladno'
'Zubař Kladno s.r.o.','Kladno'
'Ortoptika EVAM s.r.o.','Kladno'
'Ordinace SK Kladno s.r.o.','Kladno'
'DentUM Kladno s.r.o.','Kladno'
'Reosin Medical s.r.o.','Kladno'
'IP-DENTAL s.r.o.','Kladno'
'Domácí péče Včelka Praha s.r.o.','Kladno'
'Fyzioterapeutická klinika s.r.o.','Kladno'
'Mgr. IVA KASLOVÁ','Kladno'
'PhDr. Michaela Prokešová, Ph.D.','Kladno'
'Domov pro seniory Kladno','Kladno'
'MUDr. B. Mašínová, zubní praxe, s.r.o.','Kladno'
'Domov Kladno-Švermov, poskytovatel sociálních služeb','Kladno'
'Zahrada, poskytovatel sociálních služeb','Kladno'
'MUDr. Veronika Teimer','Kladno'
'Renturi s.r.o.','Kladno'
'rehabilitace atrium s.r.o.','Kladno'
'Mgr. JAN MERUNKA','Kladno'
'MUDr. Jan Pokorný','Kladno'
'Mgr. MICHAL SMUTNÝ','Kladno'
'MDDr. PETR PELKA','Kladno'
'Ordinace v Anglické s.r.o.','Kladno'
'MedicalHelp Česká republika s.r.o.','Kladno'
'KLADNÝ ZUBAŘ s.r.o.','Kladno'
'Clinical Research Foundation, spol. s r.o.','Kladno'
'UNICAplasma Morava s.r.o.','Kladno'
'Marcela Silná','Kladno'
'Lucky logopedie s.r.o.','Kladno'
'MOJE AMBULANCE a.s.','Kladno'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','Kladno'
'FOKUS optik a.s.','Kladno'
'Mgr. JAKUB JUDL','Kladno'
'FOKUS optik a.s.','Kladno'
'Chirurgie Slaný s.r.o.','Kladno'
'Ortopedie Kladno, s.r.o.','Kladno'
'K+K Medical Care s.r.o.','Kladno'
'EUC Klinika Kladno s.r.o.','Kladno'
'MUDr. Svetlana Kroftová','Kladno'
'Sang Lab - klinická laboratoř, s.r.o., odběrová místnost','Kladno'
'Fyzio Kladno s.r.o.','Kladno'
'LENIPELI s.r.o.','Kladno'
'Oční optika MaMiA s.r.o.','Kladno'
'GK dental clinic s.r.o.','Kladno'
'MEDICA SEVER s.r.o.','Kladno'
'Soukromá gynekologicko - porodnická praxe s.r.o.','Kladno'
'MUDr. Irena Bijedičová, praktický lékař pro děti a dorost s.r.o.','Klatovy'
'MUDr. Helena Jiráková, praktický lékař a alergolog pro dospělé, s. r. o.','Klatovy'
'MUDr. Martina Burianová, ambulance alergologie a imunologie s.r.o.','Klatovy'
'Zubní ordinace u muzea s.r.o.','Klatovy'
'Mgr. Petra Haviarová','Klatovy'
'Klatovská neurologická s.r.o.','Klatovy'
'MUDr. Anna Kubátová','Klatovy'
'MUDr. Jana Veselá - gynekologická ordinace s.r.o.','Klatovy'
'Rehabilitace Rajchl s.r.o','Klatovy'
'MUDr. Helena Semerádová','Klatovy'
'MUDr. Halada s.r.o.','Klatovy'
'MUDr. Vlasta Náměstková, psychiatr pro děti, dorost a dospělé, s.r.o.','Klatovy'
'Pavla Holá, DiS.','Klatovy'
'Chirurgická ambulance Klatovy - MUDr. Křišťan s.r.o.','Klatovy'
'Ortopedie Klatovy s.r.o.','Klatovy'
'Oční ordinace MUDr. Jarmila Zíková, s.r.o.','Klatovy'
'Klatovská nemocnice, a.s., Lékárna Helios, pneumologie','Klatovy'
'Jana Čadová','Klatovy'
'MUDr. Martin Štěpán','Klatovy'
'ORL a foniatrie Klatovy s. r. o.','Klatovy'
'MDDr. Adéla Brůhová','Klatovy'
'Mgr. Pavel Voráč, Lékárna Na Pražské','Klatovy'
'Mgr. Pavel Voráč, Lékárna Dragounská','Klatovy'
'Advantis Medical s.r.o.','Klatovy'
'Psychologická praxe Klatovy s.r.o.','Klatovy'
'MUDr. Dagmar Hlavsová s.r.o.','Klatovy'
'MUDr. Dagmar Macháčková s.r.o.','Klatovy'
'VITDO PRAKTIK s.r.o.','Klatovy'
'SM DENT s.r.o.','Klatovy'
'ZUBNÍ KT s.r.o.','Klatovy'
'NL - BioLAB s.r.o.','Klatovy'
'Stomatologie Hosnedl s.r.o.','Klatovy'
'Magdaléna Ezrová','Klatovy'
'Protetika PLZEŇ s.r.o.','Klatovy'
'Zubní ordinace Kůrovi, s.r.o.','Klatovy'
'KockDent s.r.o.','Klatovy'
'Mgr. Markéta Škudrnová','Klatovy'
'MUDr.Jana Raisová','Klatovy'
'MDDr. Klára Jiráčková','Klatovy'
'Klatovská zubní ordinace s.r.o.','Klatovy'
'MUDr. Filip Mariaš','Klatovy'
'Psychiatrie-ambulance s.r.o.','Klatovy'
'TeamPrevent-Network, s.r.o.','Klecany'
'MUDr. Michaela Ondráčková','Klecany'
'Národní ústav duševního zdraví','Klecany'
'Srdce v domě, příspěvková organizace','Klentnice'
'MEDIPED Klenčí s.r.o.','Klenčí pod Čerchovem'
'Markéta Hurníková','Klimkovice'
'MUDr. Věra Kotnová','Klimkovice'
'MUDr. Jarmila Noháčová s.r.o.','Klimkovice'
'Gynekologická ambulance TENSAE s.r.o.','Klimkovice'
'MDDr. PAVEL FRIEDEL','Klimkovice'
'JAN FRIEDEL','Klimkovice'
'Reve Cosmetique a.s.','Klimkovice'
'DUO - PRAKTIK s.r.o.','Klimkovice'
'Aspectus s.r.o.','Klimkovice'
'Domov pro seniory Klimkovice, příspěvková organizace','Klimkovice'
'Mgr. ŠÁRKA FRIEDLOVÁ','Klimkovice'
'Chirurgická a koloproktologická ambulance Klimkovice s.r.o.','Klimkovice'
'AquaKlim, s.r.o., Sanatoria Klimkovice, Neurorehabilitační OLÚ','Klimkovice'
'Ambulance Prof. MUDr. Karla Martiníka, DrSc., s.r.o.','Klimkovice'
'Klinika prevence a zdraví Hradec Králové s.r.o.','Klimkovice'
'Cyrmex, s.r.o. Lékárna Cyrmex','Klobouky u Brna'
'Fyzioterapie Klobouky s.r.o.','Klobouky u Brna'
'LASTRONA s.r.o.','Klokočí'
'MUDr. KRISTINA MARKOVÁ','Klučenice'
'MUDr. Hana Jírová','Klášterec nad Ohří'
'MUDr. Martin Krákora','Klášterec nad Ohří'
'MUDr. Jiří Šťovíček','Klášterec nad Ohří'
'AeskuLab k.s., odběrová místnost','Klášterec nad Ohří'
'Městský ústav sociálních služeb Klášterec nad Ohří, příspěvková organizace','Klášterec nad Ohří'
'Sorelia s.r.o.','Klášterec nad Ohří'
'Nemocnice Kadaň s.r.o., odborné ambulance','Klášterec nad Ohří'
'Nemocnice Kadaň s.r.o., odborná ambulance interny','Klášterec nad Ohří'
'Nemocnice Kadaň s.r.o., ambulance pracovní lékařství','Klášterec nad Ohří'
'Mgr. Jan Falešník','Klášterec nad Ohří'
'MDDr. Viktor Ilavskyj','Klášterec nad Ohří'
'MUDr. DMYTRO MARYN','Klášterec nad Ohří'
'ARC - MED s.r.o., Lázeňský dům Evženie','Klášterec nad Ohří'
'Gynekologie Roztoky s.r.o.','Kněževes'
'Olena Liashenko','Kněževes'
'MUDr. Blanka STAŇOVÁ','Kněževes'
'MDDr. MARIE KOPECKÁ','Kněževes'
'MUDr. Barbora Ebertová','Kněževes'
'MUDr. Ludmila Suchánková','Kněžice'
'Gynekologie MUDr. Peter Kraus s.r.o.','Kněžmost'
'MUDr. František Pospíšil s.r.o.','Kněžpole'
'MS - Pediatr s.r.o.','Kobeřice'
'MDDr. ZUZANA FUSOVÁ','Kobeřice'
'Bedřiška Švestková','Kobylí'
'Mgr. Eva Řačáková','Kobylí'
'Nemocnice Pardubického kraje, a.s., Svitavská nemocnice, praktický lékař pro dospělé','Koclířov'
'Drsarka s.r.o.','Kohoutov'
'Domov sv. Anežky','Kojatice'
'Ordinace MUDr. Kružíka s.r.o.','Kojetice'
'MUDr. Vilém Vilém - praktický lékař, s.r.o.','Kojetín'
'MUDr. Jana Palmašová + MUDr. Romana Vrtělová s.r.o.','Kojetín'
'DR. OPTIK Moravia s.r.o.','Kojetín'
'LAB KM s.r.o., odběrová místnost','Kojetín'
'MUDr. Richard Kobza, interna a diabetologie s.r.o.','Kojetín'
'Klinická Logopedie Haná s.r.o.','Kojetín'
'MUDr. Jana Mathonová, dětský lékař, s.r.o.','Kojetín'
'PhDr. Jiřina Lukáčová, s.r.o.','Kojetín'
'MUDr. Dobromila Vykoupilová','Kojetín'
'MUDr. LUKÁŠ VACULA','Kojetín'
'EL-MA DENT s.r.o.','Kojetín'
'Psychovia s.r.o.','Kojetín'
'Věra Hýbnerová','Kojetín'
'Hron Jaroslav MUDr., s.r.o.','Kokory'
'TELEMENS s.r.o.','Kokory'
'Centrum zdravého úsměvu s.r.o.','Kokory'
'Domov Kolešovice, poskytovatel sociálních služeb','Kolešovice'
'MUDr. Chocová s.r.o.','Kolinec'
'Praktik-Reha s.r.o.','Koloveč'
'Václava Provazníková','Kolín'
'MUDr. Petra Kudrnová s.r.o.','Kolín'
'MUDr. Zdeňka Vodičková s.r.o.','Kolín'
'Gynekologie Eva s.r.o.','Kolín'
'Ortopedicko-traumatologická privátní ambulance MUDr. Jan Balík s.r.o.','Kolín'
'EUC Laboratoře s.r.o., odběrová místnost','Kolín'
'Stomatologie Kolín, s.r.o','Kolín'
'Centrum duševního zdraví Kolín, s.r.o.','Kolín'
'Oblastní nemocnice Kolín, a.s., nemocnice Středočeského kraje, hematologie, odběrová místnost','Kolín'
'MAMADŮ institut, s.r.o.','Kolín'
'Maksym Malyukh','Kolín'
'Mgr. Jana Rybářová','Kolín'
'MUDr. Petr Klepetko','Kolín'
'Fyzioterapie RELAX s.r.o.','Kolín'
'Neurola Kolín s.r.o.','Kolín'
'Dentální klinika Kolín s.r.o.','Kolín'
'Mgr. Jana Mrázová','Kolín'
'MUDr. Stanislav Douša','Kolín'
'PRONATAL s.r.o., Kolín','Kolín'
'ADIKTOLOGICKÉ CENTRUM, s.r.o.','Kolín'
'Veronika Jandlová, DiS.','Kolín'
'DOMÁCÍ PÉČE Spirit s.r.o.','Kolín'
'Veterinární klinika Kolín, s.r.o.','Kolín'
'MUDr. Ivana Janečková','Kolín'
'SeneCura SeniorCentrum Kolín s.r.o.','Kolín'
'DENTEON s.r.o.','Kolín'
'MUDr. Marie Mayerová','Kolín'
'Ambulance psychiatrie s.r.o.','Kolín'
'Koldent s.r.o.','Kolín'
'Ivancak Medicine s.r.o.','Kolín'
'Váš praktický lékař, s.r.o.','Kolín'
'ProMedicus Senior Help s.r.o.','Kolín'
'Domácí hospic Srdcem, z. ú.','Kolín'
'Systém asistovaného hubnutí s.r.o.','Kolín'
'Domácí péče Včelka Pardubicko s.r.o.','Kolín'
'Oční optika HANA STÁRKOVÁ s.r.o.','Kolín'
'Klinická psychologie a neuropsychologie s.r.o.','Kolín'
'Anestodent s.r.o.','Kolín'
'Ordinace-Groh s.r.o.','Kolín'
'MUDr. JIŘÍ LEŠOVSKÝ','Kolín'
'Dental Bros s.r.o.','Kolín'
'Oční optika HANA STÁRKOVÁ s.r.o.','Kolín'
'MUDr. Ladislav Vokál s.r.o.','Kolín'
'MAKSYM GORSKYI','Kolín'
'Domácí zdravotní péče Kolín s.r.o.','Kolín'
'FOKUS optik a.s.','Kolín'
'Lékárna Tyršova s.r.o.','Kolín'
'Centrum komplexní rehabilitace s.r.o.','Kolín'
'Dentlabe s.r.o.','Kolín'
'Městské sociální a zdravotní služby','Kolín'
'Městské sociální a zdravotní služby','Kolín'
'Nemocniční lékárny s.r.o., Kolínská lékárna','Kolín'
'Bc. KATEŘINA KONDERLOVÁ','Komorní Lhotka'
'Integrovaný sociální ústav Komorní Lhotka čp. 184, příspěvková organizace','Komorní Lhotka'
'LoveYourSmile s.r.o.','Komárov'
'Senioři Komárov s.r.o.','Komárov'
'Bc. Kristýna Kohutová DiS.','Komárov'
'MUDr. Ivan Ulč','Komárov'
'JIŘINA NOVÁKOVÁ','Komárov'
'naše lékárna, s.r.o., OOVL - L Adamova lékárna','Komárov'
'Mgr. Lenka Alexandra Němcová','Komňa'
'MUDr. Šmejkal Petr','Konice'
'MUDr.Skoták-urologická ambulance, s.r.o.','Konice'
'AGEL Středomoravská nemocniční a.s., Nemocnice Prostějov, ambulance klinické biochemie Konice','Konice'
'MUDr. JIŘÍ ŠŤASTNÝ','Konice'
'Sanitka Trans, s.r.o.','Konice'
'Sanitka Trans, s.r.o.','Konice'
'Nemocnice Olomouckého kraje, a.s.','Konice'
'LOGOPEDIE HANÁ s.r.o.','Konice'
'Mgr. Markéta Dufková','Konice'
'KATEŘINA KOUDELKOVÁ DiS.','Konice'
'Léčebné lázně Konstantinovy lázně a.s., Komplexní lázeňský ústav Prusík','Konstantinovy Lázně'
'Léčebné lázně Konstantinovy lázně a.s., Lázeňský penzion Mír','Konstantinovy Lázně'
'Léčebné lázně Konstantinovy lázně a.s., Lázeňský hotel Jirásek','Konstantinovy Lázně'
'Léčebné lázně Konstantinovy lázně a.s., Lázeňský penzion Marie','Konstantinovy Lázně'
'Léčebné lázně Konstantinovy lázně a.s., Lázeňský penzion Lőwenstein','Konstantinovy Lázně'
'Léčebné lázně Konstantinovy lázně a.s., Lázeňský penzion Purkyně','Konstantinovy Lázně'
'Léčebné lázně Konstantinovy lázně a.s., Lázeňský penzion Praha','Konstantinovy Lázně'
'Léčebné lázně Konstantinovy lázně a.s., Lázeňský penzion Mánes','Konstantinovy Lázně'
'KN DENT - zubní ordinace s.r.o.','Konstantinovy Lázně'
'JSC Group s.r.o., Lékárna TRIO, OOVL','Kopidlno'
'MUDr. Lubomír Klíma Praktický lékař, s.r.o.','Kopidlno'
'MUDr. Hana Vaněčková s.r.o.','Kopřivnice'
'Michaela Menzlová s.r.o.','Kopřivnice'
'Lékárna Kalen s.r.o.','Kopřivnice'
'MUDr. Martina Kmetzová','Kopřivnice'
'MUDr. Eva Šetková s.r.o.','Kopřivnice'
'MUDr. Jana Štěpánková','Kopřivnice'
'Igor Galeta','Kopřivnice'
'THERÁPON 98, a.s.','Kopřivnice'
'Mgr. Věra Ivánková s.r.o.','Kopřivnice'
'MUDr. Jakl Josef s.r.o.','Kopřivnice'
'Cutaneo s.r.o.','Kopřivnice'
'MDDr. LENKA DOLEJŠÍ','Kopřivnice'
'Brose CZ spol. s r.o.','Kopřivnice'
'MDDr. MONIKA ŠŤASTNÁ','Kopřivnice'
'Stavovská s.r.o., Lékárna Medical','Kopřivnice'
'VPS Medical unit s.r.o.','Kopřivnice'
'TRAVEL TO HEALTH a.s.','Kopřivnice'
'MARTINA BAROŠOVÁ','Kopřivnice'
'JAN FRANTA','Kopřivnice'
'MDDr. Michal Jantač','Kopřivnice'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','Kopřivnice'
'Profismile plus s.r.o.','Kopřivnice'
'Bc. MARIE VÁCLAVÍNKOVÁ','Kopřivnice'
'PAVLA DAVIDOVÁ DiS.','Kopřivnice'
'Gynekologie Kopřivnice s.r.o.','Kopřivnice'
'MUDr. TOMÁŠ KOLOMAZNÍK','Kopřivnice'
'koprDENT s.r.o.','Kopřivnice'
'TREEDENT s.r.o.','Kopřivnice'
'MUDr. Jiří Straka','Korytná'
'MDDr. Barbora Hajnová','Koryčany'
'Kroměřížská nemocnice a.s., PL pro dospělé','Koryčany'
'Rehatrutnov s.r.o.','Kosmonosy'
'Chirurgická ambulance Kosmonosy s.r.o.','Kosmonosy'
'Zdravé dásně s.r.o.','Kosmonosy'
'ELIA medical s.r.o.','Kosmonosy'
'MUDr. Pavel Matuška','Kosova Hora'
'Bc. Petra Arcimovičová','Kosova Hora'
'Zubní studio V+V s.r.o.','Kostelec'
'MUDr. Patrik Novák','Kostelec'
'Domov pro seniory Kostelec na Hané, příspěvková organizace','Kostelec na Hané'
'Hedvika Navrátilová','Kostelec na Hané'
'Lékárna U černého orla, spol. s r.o.','Kostelec na Hané'
'MEDICOM'S spol. s r.o.','Kostelec na Hané'
'MUDr. Květa Hrdličková','Kostelec nad Labem'
'MUDr. Jan Voráček s.r.o.','Kostelec nad Orlicí'
'MUDr. Milan Musil s.r.o.','Kostelec nad Orlicí'
'Gynkos s.r.o.','Kostelec nad Orlicí'
'Mgr. Darina Fialová','Kostelec nad Orlicí'
'FYZIOTERAPIE CIMFL s.r.o.','Kostelec nad Orlicí'
'KLINICKÁ LOGO PLUS s.r.o.','Kostelec nad Orlicí'
'AB-MED s.r.o.','Kostelec nad Orlicí'
'Lucie Bahníková','Kostelec nad Orlicí'
'ANNAMARIA - EU s.r.o.','Kostelec nad Černými lesy'
'Diakonie ČCE - středisko Střední Čechy','Kostelec nad Černými lesy'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','Kostelec nad Černými lesy'
'Doc.MUDr.Vladimír Kříž s.r.o.','Kostelec nad Černými lesy'
'Zdravotnická záchranná služba Středočeského kraje, příspěvková organizace','Kostelec nad Černými lesy'
'Oční optika HANA STÁRKOVÁ s.r.o.','Kostelec nad Černými lesy'
'PRAKORD s.r.o.','Kostelní Hlavno'
'MUDr. Marcela Altová','Kounice'
'Petr Hamták, DiS.','Kounice'
'Masarykova nemocnice Rakovník s.r.o., ambulance PL pro dospělé','Kounov'
'G-HELP z.ú.','Kouřim'
'MUDr. Jana Kouklová','Kovářská'
'Servis Dent s.r.o.','Kovářská'
'MUDr. Oldřich Šottner','Kozlov'
'Miroslava Šiláková - Lékárna u Matky Boží','Kozlovice'
'Praktik Machalová s.r.o.','Kozlovice'
'Rehabilitace REVITA Frenštát s.r.o.','Kozlovice'
'Felicity Dental s.r.o.','Kozmice'
'MUDr. Petra Rumlová','Kozojedy'
'Tereza Langrová DiS.','Košetice'
'Mgr. Terezie Kamešová','Košetice'
'Mgr. Michaela Zajíčková','Košetice'
'MUDr. Jiří Mareš s.r.o.','Kožlany'
'MARTINA MAŤAŠOVIČOVÁ','Krakovany'
'MUDr. Petr Stavěl','Kralice na Hané'
'EUC Klinika Plzeň s.r.o.','Kralovice'
'Odborné zdravotnické zařízení s.r.o.','Kralovice'
'MUDr. Jiří Mareš s.r.o.','Kralovice'
'MUDr. Míťa Rosenberg','Kralovice'
'Josh Fyzio s.r.o., Výdejna zdravotnických prostředků','Kralovice'
'Praktický lékař Kralovice - MUDr. Josef Hošek s.r.o.','Kralovice'
'Pilulka Lékárny a.s.','Kralovice'
'Dům sociální péče Kralovice, příspěvková organizace','Kralovice'
'ČESKÁ OČNÍ OPTIKA HOLDING a.s.','Kralovice'
'MUDr. Kamila Guregová s.r.o.','Kralupy nad Vltavou'
'MEDICA STŘED s. r. o.','Kralupy nad Vltavou'
'Martin Drahovzal','Kralupy nad Vltavou'
'Cornea Lexum s.r.o','Kralupy nad Vltavou'
'synlab czech s.r.o., odběrová místnost','Kralupy nad Vltavou'
'Hygeia s.r.o.','Kralupy nad Vltavou'
'GYNOSTEMA s.r.o.','Kralupy nad Vltavou'
'PSYCHterap s.r.o.','Kralupy nad Vltavou'
'TOMPRAKTIK s.r.o.','Kralupy nad Vltavou'
'MUDr. Emília Francová','Kralupy nad Vltavou'
'MUDr. Draga Křížovská','Kralupy nad Vltavou'
'MUDr. Jiří Holan','Kralupy nad Vltavou'
'MUDr. Ferdinand Třebícký','Kralupy nad Vltavou'
'Věra Řezníčková','Kralupy nad Vltavou'
'MUDr. Kamila Lelková Černušáková','Kralupy nad Vltavou'
'Lucia Feková','Kralupy nad Vltavou'
'RTG Kralupy nad Vltavou s.r.o.','Kralupy nad Vltavou'
'Mgr. Kateřina Hollá','Kralupy nad Vltavou'
'JTM DENTAL s.r.o.','Kralupy nad Vltavou'
'Mgr. Jana Rysová','Kralupy nad Vltavou'
'MUDr. Alena Blahůšková','Kralupy nad Vltavou'
'Drahorádová s.r.o.','Kralupy nad Vltavou'
'DENTÁLNÍ KLINIKA s.r.o.','Kralupy nad Vltavou'
'MUDr. Martin Jícha','Kralupy nad Vltavou'
'Audacia klinik s.r.o.','Kralupy nad Vltavou'
'Medipoint HM s.r.o.','Kralupy nad Vltavou'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','Kralupy nad Vltavou'
'DIFFERENT PHARMA a.s., FAJN LÉKÁRNA','Kralupy nad Vltavou'
'Sang Lab - klinická laboratoř, s.r.o., odběrová místnost','Kralupy nad Vltavou'
'Záchranná služba Asociace samaritánů ČR Kralupy nad Vltavou z.s.','Kralupy nad Vltavou'
'MUDr. KATEŘINA KVÍČALOVÁ','Kralupy nad Vltavou'
'MUDr. Roman Gruber','Kralupy nad Vltavou'
'UROCENTRUM s.r.o.','Kralupy nad Vltavou'
'Tereza Horáčková','Kralupy nad Vltavou'
'Plicní ambulance Kralupy s.r.o.','Kralupy nad Vltavou'
'EUC PLS s.r.o.','Kralupy nad Vltavou'
'MUDr. Alena Turečková s.r.o.','Kralupy nad Vltavou'
