"NazevZarizeni","Obec"
"PhDr. Hana Cacková","Brno"
"Psychocentrum Dialog, s.r.o.","Brno"
"JMU Pro-Medical Clinic s.r.o.","Brno"
"Kateřina Havlíková DiS.","Brno"
"Aneta Chmelová DiS.","Brno"
"Bc. Pavel Zrubek","Brno"
"Mediclinic a.s.","Brno"
"Saint Anne s.r.o.","Brno"
"CCR Brno s.r.o.","Brno"
"sigurson s.r.o.","Brno"
"Mediclinic a.s.","Brno"
"MUDr. ANNA DOLÁKOVÁ s.r.o.","Brno"
"CARDIOPULS LIPOVÁ, s.r.o.","Brno"
"Studio Zuch s.r.o.","Brno"
"MUDr. Alena Palčíková s.r.o.","Brno"
"MUDr. Lenka Klímová","Brno"
"MUDr. Jana Grabovská s.r.o.","Brno"
"INTEKA KOSOVÁ s.r.o.","Brno"
"MUDr. Jitka Wernerová","Brno"
"Medica Aesthetica s.r.o.","Brno"
"SALIXILAS s.r.o.","Brno"
"Evidental s.r.o.","Brno"
"Tomáš Chrobok","Brno"
"Tomáš Chrobok","Brno"
"Mgr. Jakub Veškrna","Brno"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Brno"
"BENU Česká republika s.r.o., BENU lékárna","Brno"
"PharmaSalix s.r.o., Lékárna Na Cejlu","Brno"
"MUDr. Šárka Stiborová","Brno"
"EDI NET s.r.o. - organizační složka","Brno"
"synlab czech s.r.o., odběrová místnost","Brno"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Brno"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Brno"
"24-LÉKÁRNA s.r.o.","Brno"
"MDT-Medical Data Transfer s.r.o.","Brno"
"Mgr. Zdeňka Lauermannová s.r.o.","Brno"
"Mgr. Zdeňka Lauermannová s.r.o.","Brno"
"Mgr. Zdeňka Lauermannová s.r.o.","Brno"
"Mgr. Zdeňka Lauermannová s.r.o.","Brno"
"Chirurgická ambulance Viniční, s.r.o.","Brno"
"NEUROLOGIE POPELKA s.r.o.","Brno"
"EYES OPTIK, s.r.o.","Brno"
"DIAMOND OPTIC, s.r.o.","Brno"
"MUDr. Václav Kotačka","Brno"
"Dr. Švandová - klinická logopedie, s.r.o.","Brno"
"EIFFEL OPTIC, a.s.","Brno"
"IBC Cosmetic Dentistry s.r.o.","Brno"
"PhDr. Marta Romaňáková, Ph.D.","Brno"
"Rehabilitace VHP s.r.o.","Brno"
"Pilulka Lékárny a.s.","Brno"
"STUDIO ELITE SMILE s.r.o.","Brno"
"Oční centrum CESTA s.r.o.","Brno"
"Stomatologie Mendlovo nám. s.r.o.","Brno"
"MUDr. Božena Kučerová, s.r.o.","Brno"
"MUDr. Jaroslav Matějík s.r.o.","Brno"
"MUDr. Mecová - neurologie s.r.o.","Brno"
"Lident Stomacare s.r.o.","Brno"
"Sdružené ordinace Slatina s.r.o.","Brno"
"MUDr. Kristina Lambieová, s.r.o.","Brno"
"Stomatologie CLARIS s.r.o.","Brno"
"MUDr. JANKA ZAPLETALOVÁ s.r.o.","Brno"
"MUDr. Vladimír Macháček","Brno"
"IriSdent s.r.o.","Brno"
"Heřmánková lékárna s.r.o.","Brno"
"Mgr. Martina Milčáková","Brno"
"VALORE plus,s.r.o.","Brno"
"Smileland s.r.o.","Brno"
"MUDr. Adámková Jaroslava s.r.o.","Brno"
"MUDr. Dana Holušová s.r.o.","Brno"
"Psychiatrická ambulance MUDr. Olga Krátká s.r.o.","Brno"
"MDDr. Tomáš Král","Brno"
"SANEMEDICA, s.r.o.","Brno"
"MUDr. Kateřina Procházková s.r.o.","Brno"
"Stomatologie Tejkal s.r.o.","Brno"
"HAMEDICAL s.r.o.","Brno"
"Lunettes Optika s.r.o.","Brno"
"MUDr. Vladimír Ludka","Brno"
"DIAVITA s.r.o.","Brno"
"Gynekologie Brno s.r.o.","Brno"
"Procházka ortopedií s.r.o.","Brno"
"Společnost Podané ruce, o.p.s., Terapeutické centrum na Bratislavské","Brno"
"Arthro Biotherapy s.r.o.","Brno"
"MUDr. Jan Vanáč","Brno"
"Perfect Clinic s.r.o.","Brno"
"MUDr. Aleš Chaloupka","Brno"
"Derma Medical Clinic s.r.o.","Brno"
"MUDr. Šárka Stiborová","Brno"
"MUDr. Šárka Stiborová","Brno"
"MUDr. Tomáš Kubek Ph.D.","Brno"
"MUDr. Lia Vašíčková","Brno"
"MUDr. Miroslav Novák","Brno"
"DENTEA, s.r.o.","Brno"
"HABALE s.r.o.","Brno"
"Oblastní spolek Českého červeného kříže Brno-město","Brno"
"prof. MUDr. Miroslav Penka, CSc.","Brno"
"DAP Brno, spol. s r.o.","Brno"
"Kardio Brychta s.r.o.","Brno"
"MUDr. Kamila Pohanková","Brno"
"Lucie Nováková DiS.","Brno"
"MUDr. Jitka Vokurková, Ph.D.","Brno"
"Vladimír Ryc","Brno"
"SMILE FACTORY s.r.o.","Brno"
"MUDr. Roman Stehlík, s.r.o.","Brno"
"AVE SURGEON s.r.o.","Brno"
"Ordinace VPL Pekařská s.r.o.","Brno"
"MUDr. VĚRA ZELENÁ s.r.o.","Brno"
"MeDiLa spol. s r.o., odběrová místnost","Brno"
"MUDr. Jan Kopeček","Brno"
"Remedis, s.r.o.","Brno"
"EuroPainClinics Brno a.s.","Brno"
"MUDr. Petr Fráňa","Brno"
"MUDr. Roman Malý","Brno"
"HCI HOTEL CLUB INVESTMENTS, spol. s r.o.","Brno"
"MUDr. Roman Malý","Brno"
"Helena Kalousková","Brno"
"Endokrinologie Munteanu s.r.o.","Brno"
"Osteocentrum Brno, s.r.o.","Brno"
"AngiologieBrno-Šárník spol. s r.o.","Brno"
"BaraDental s.r.o.","Brno"
"Oralcare s.r.o.","Brno"
"DentaLibor s.r.o.","Brno"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Brno"
"DERMI, s.r.o. Lékárna na Vltavské","Brno"
"Moje ORL s.r.o.","Brno"
"Eva Mudrychová","Brno"
"MUDr. Kristina Borkovcová s.r.o.","Brno"
"MUDr. Pavla Dorúšková s.r.o.","Brno"
"MUDr. Radmila Gálová s.r.o.","Brno"
"MDDr. Tomáš Slavíček","Brno"
"inPHARM CLINIC s.r.o.","Brno"
"Gynekologie MEDA s.r.o.","Brno"
"SPOMED, s.r.o.","Brno"
"MUDr. Michaela Blahová, revmatologická ambulance s.r.o.","Brno"
"OFTA ambulance s.r.o.","Brno"
"BARDENTA, s.r.o.","Brno"
"Bc. Ondřej Kapusta","Brno"
"Chirurgie Javor Brno s.r.o.","Brno"
"Excellent Dent s.r.o.","Brno"
"Magistr TOM s.r.o., Lékárna + zdravá výživa","Brno"
"Stomatologie-Ortodoncie Mendlovo nám. s.r.o.","Brno"
"Arte Clinic s.r.o.","Brno"
"MUDr. Hana Kellnerová","Brno"
"Mgr. Bára Horáčková","Brno"
"MUDr. Pavel Ovísek s.r.o.","Brno"
"Sdružené ordinace s.r.o.","Brno"
"Stomatologické centrum Verodent s.r.o.","Brno"
"ORL A LOGOPEDIE s.r.o.","Brno"
"Fyzioterapie a RHB Mikulov s.r.o.","Brno"
"Lékárna Korunka s.r.o.","Brno"
"Zdravotnická záchranná služba Jihomoravského kraje, příspěvková organizace","Brno"
"Bc. Eva Brunclíková","Brno"
"MDDr. Alena Šmídová Kopecká","Brno"
"MUDr. Martin Man","Brno"
"AKI, spol. s r. o.","Brno"
"EUROGYN MUDr. Marie Huvarová s.r.o.","Brno"
"EUROGYN MUDr. Ivan Huvar s.r.o.","Brno"
"Kamila Sedlaříková","Brno"
"Oční ambulance MUDr. Zuzana Horáková, s.r.o.","Brno"
"Psychiatrie Vyhlídka s.r.o.","Brno"
"MUDr. Zábranský s.r.o.","Brno"
"MUDr. Ivo Vaněček s.r.o.","Brno"
"IATREIA - MD s.r.o.","Brno"
"ORTOGYN s.r.o.","Brno"
"SPADIA LAB, a.s.","Brno"
"MUDr.Veronika Tomková, CSc., s.r.o.","Brno"
"DermasineD s.r.o.","Brno"
"Neurologie U pošty s.r.o.","Brno"
"Praktický lékař MUDr. Renáta Novotná s.r.o.","Brno"
"Dětská primární péče, s.r.o.","Brno"
"Šikl & Caha stomatologie s.r.o.","Brno"
"MEDAMA sante s.r.o.","Brno"
"Green wings s.r.o., Lékárna Zelený Anděl","Brno"
"MDDr. Jan Kopřiva","Brno"
"Sanovia, a.s.","Brno"
"Mgr. Olga Haufová, NAŠE LÉKÁRNA","Brno"
"Chirurgie MUDr. Marťanová, s.r.o.","Brno"
"Psycholog.eu, s. r. o.","Brno"
"SNL Dent s.r.o.","Brno"
"OFTALMED s.r.o.","Brno"
"Supradent Plus, s.r.o.","Brno"
"PRO SMILE, s.r.o.","Brno"
"Dana Šandová","Brno"
"BC Medical s.r.o.","Brno"
"Mgr. Ilona Mravcová, s.r.o., Lékárna Proti Sv. Anně","Brno"
"Libdent s.r.o.","Brno"
"Zubní centrum Durďákova s.r.o.","Brno"
"Gynekologie MUDr. Jan Miklica s.r.o.","Brno"
"DIABETOLOGIE Pisarčíková s.r.o.","Brno"
"MUDr. Monika Trubáková, s.r.o.","Brno"
"MUDr. Leona Žáková","Brno"
"Redant med s.r.o., Lékárna Selská","Brno"
"Centrum pro zdraví - kardiologie s.r.o.","Brno"
"Ungerová - neurologie s.r.o.","Brno"
"MUDr. Markéta Zahrádková s.r.o.","Brno"
"Zuby Brno s.r.o.","Brno"
"MUDr. Jan Komárek s.r.o.","Brno"
"Zuby Brno s.r.o.","Brno"
"MUDr. Petr Tomandl","Brno"
"MUDr. Eva Ryšavá, s.r.o.","Brno"
"Ortolab Brno s.r.o.","Brno"
"liligyn s.r.o.","Brno"
"BENU Česká republika s.r.o., BENU lékárna","Brno"
"SkenoDent s.r.o.","Brno"
"MUDr. Ludmila Vomelová s.r.o.","Brno"
"DiaPraB s.r.o.","Brno"
"Karident s.r.o.","Brno"
"MUDr. Igor Sas","Brno"
"KalaDent s.r.o.","Brno"
"Ordinace praktického lékaře Pod Palackého vrchem s.r.o.","Brno"
"EUC Klinika Brno s.r.o.","Brno"
"EUC Klinika Brno s.r.o.","Brno"
"Mgr. Veronika Gistrová","Brno"
"MUDr. Jiřina Machátová s.r.o.","Brno"
"Mudr. Tomáš Kubelka","Brno"
"Lubomír Kukla CSc.","Brno"
"Sylwia Magdalena Koláčková DiS.","Brno"
"Supradent, s.r.o.","Brno"
"AeskuLab Patologie, k.s.","Brno"
"FYZIO - Konečná, s.r.o.","Brno"
"MUDr. Hana Slámová s.r.o.","Brno"
"ROSA DENT s.r.o.","Brno"
"SCR s.r.o.","Brno"
"Dentiva s.r.o.","Brno"
"MUDr. Lucie Kučerová","Brno"
"MUDr. Juraj Jarošík","Brno"
"LOGOPEDIE Brno, s.r.o.","Brno"
"MUDr. Lenka Kostelníková, s.r.o.","Brno"
"ORL - komplexní léčba s.r.o.","Brno"
"MUDr. Jakub Rapi","Brno"
"MUDr. Yvona Zlámalová s.r.o.","Brno"
"Sdružené ordinace Brno.střed s.r.o.","Brno"
"NOVAOPTIK JP, s.r.o.","Brno"
"XC dent s.r.o.","Brno"
"MUDr. Eva Petrová","Brno"
"MUDr. Jaroslav Petr","Brno"
"Zubař Brno, s.r.o.","Brno"
"Kyselovský stomatologie s.r.o.","Brno"
"PRIMALOGOPEDIE s.r.o.","Brno"
"Kernspin s.r.o.","Brno"
"Oční lékař MUDr. Helena Pellarová s.r.o.","Brno"
"Dental Help Brno s.r.o.","Brno"
"BESTDENT s.r.o.","Brno"
"MUDr. Martin Chochlík","Brno"
"MUDr. Simona Holcová s.r.o.","Brno"
"MEDILANPOS, spol. s r.o.","Brno"
"NevDent, s.r.o.","Brno"
"Dr. Švandová - klinická logopedie, s.r.o.","Brno"
"Rehabilitace MUDr. Mertová s.r.o.","Brno"
"RTG + SONO, s.r.o.","Brno"
"Mgr. Darina Kocúrková","Brno"
"Mgr. Markéta Černovská","Brno"
"Petra Bielczyková","Brno"
"MDDr. MUDr. Lucie Klempová","Brno"
"ORL ambulance MUDr. Cvrkalové, s.r.o.","Brno"
"MUDr. Milada Dostálová, s.r.o.","Brno"
"MUDr. Michaela Koukalová s.r.o.","Brno"
"MUDr. Dagmar Vašková s.r.o.","Brno"
"Schöbl Medicine, s.r.o.","Brno"
"MUDr. Alena Krásová s.r.o.","Brno"
"LAGI s.r.o.","Brno"
"MUDr. Marie Petrásová, s.r.o.","Brno"
"MUDr. Kateřina Kolářová s.r.o.","Brno"
"Rehabilitace ZAB, s.r.o.","Brno"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Brno"
"DenSmileBrno s.r.o.","Brno"
"Mgr. Petra Štelclová","Brno"
"MUDr. Tomáš Zelníček","Brno"
"Sanitas Animae s.r.o.","Brno"
"Wolfdental s.r.o.","Brno"
"MDDr. František Drmola","Brno"
"HIT dentlab s.r.o.","Brno"
"MUDr. Ondřej Pavlík","Brno"
"Zubní Purkyňova, s.r.o.","Brno"
"MUDr. Eva Skotáková, s.r.o.","Brno"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Brno"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Brno"
"SL Dent s.r.o.","Brno"
"RehaYog, spol. s r.o.","Brno"
"RehaYog, spol. s r.o.","Brno"
"Stříbrná interna s.r.o.","Brno"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Brno"
"MeDiLa spol. s r.o., odběrová místnost","Brno"
"MUDr. Michaela Krahulcová","Brno"
"Herlango, s.r.o.","Brno"
"Herlango, s.r.o.","Brno"
"Herlango, s.r.o.","Brno"
"MeDiLa spol. s r.o., odběrová místnost","Brno"
"MUDr. Petr Unčovský","Brno"
"MUDr. Pavel Turčáni","Brno"
"Psychiatrická ambulance MUDr. Hana Hornochová s.r.o.","Brno"
"MUDr. Pavel Kobzík","Brno"
"GT - DENT, s.r.o.","Brno"
"MUDr. Zora Jakubíková","Brno"
"MUDr. Tomáš Ventruba","Brno"
"MUDr. Petr Šín","Brno"
"MUDr. Petr Šín","Brno"
"MUDr. Petr Šín","Brno"
"MUDr. Petr Šín","Brno"
"PAVEL HUDE","Brno"
"Bc. Markéta Šuráňová","Brno"
"MUDr. Eduard Minks","Brno"
"PhDr. Sabina Goldemundová","Brno"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Brno"
"PhDr. Jarmila Turbová, s.r.o.","Brno"
"ČESKÁ LÉKÁRNA HOLDING, a.s.","Brno"
"synlab czech s.r.o., odběrová místnost","Brno"
"synlab czech s.r.o., odběrová místnost","Brno"
"MUDr. Sabina Sellner","Brno"
"Brněnský Medopoint s.r.o.","Brno"
"Zdravotnická záchranná služba Jihomoravského kraje, příspěvková organizace","Brno"
"Dětská fyzioterapie, a.s.","Brno"
"ST.FORTIS s. r. o.","Brno"
"AVE Dental s.r.o.","Brno"
"Alergologie Němcová s.r.o.","Brno"
"DENTARIA stomatologie, s.r.o.","Brno"
"SUNDENT s.r.o.","Brno"
"General Praktic s.r.o.","Brno"
"MUDr. Jana Fabíková, s.r.o.","Brno"
"Diagangio s.r.o.","Brno"
"AngioClinic Brno s.r.o.","Brno"
"Success Smile s.r.o.","Brno"
"Poliklinika MUDr. Rudolfa Kropáče, s.r.o.","Brno"
"ParaCENTRUM Fenix","Brno"
"AeskuLab k.s., odběrová místnost","Brno"
"MUDr. Roman Malý","Brno"
"MUDr. Roman Malý","Brno"
"MUDr. Hana Mihulová","Brno"
"NeuroBrain s.r.o.","Brno"
"DC - Flipper s.r.o.","Brno"
"Sanus Brno","Brno"
"MUDr. Karel Pelikán","Brno"
"ROD dental s.r.o.","Brno"
"ROD dental s.r.o.","Brno"
"ORTEA, spol. s r.o.","Brno"
"REVMACLINIC, s. r. o.","Brno"
"MedLog Logistic s.r.o.","Brno"
"MUDr. Jana Bartošková","Brno"
"Mgr. Radka Kubelková","Brno"
"Media Management Group, s.r.o.","Brno"
"Exmarket MC, s.r.o.","Brno"
"David Kotek DiS.","Brno"
"MUDr. Petra Havlíčková","Brno"
"Zdravotnická záchranná služba Jihomoravského kraje, příspěvková organizace","Brno"
"BENU Česká republika s.r.o., BENU Lékárna","Brno"
"Endokrinologie Dostálová, s.r.o.","Brno"
"Renata Giacintová","Brno"
"Soukromá klinika LOGO s.r.o.","Brno"
"Audiologie foniatrie s.r.o.","Brno"
"MDDr. Štěpán Jurčík","Brno"
"Mgr. Bc. Iva Korábová","Brno"
"Dental Sedláček s.r.o.","Brno"
"BelleMED s.r.o.","Brno"
"MUDr. HELENA BEZDĚKOVÁ - stomatologie, s.r.o.","Brno"
"Klinicko psychologická praxe GESTALT, s.r.o.","Brno"
"MDDr. Olga Frydrychová s.r.o.","Brno"
"Ultrazvuk - MUDr. Věra Hanušová s.r.o.","Brno"
"MEDIHOF Brno s.r.o.","Brno"
"HD OPHTHALMIC s.r.o.","Brno"
"HD OPHTHALMIC s.r.o.","Brno"
"MUDr. Radmila Vyzulová","Brno"
"PANDA Medic, spol. s r. o.","Brno"
"MUDr. Radek Pacola","Brno"
"MUDr. Karel Ludikovský","Brno"
"Mgr. Eva Šafářová","Brno"
"Bc. Kamila Stejskalová","Brno"
"MUDr. Irena Žáčková s.r.o.","Brno"
"MUDr. Josef Všetíček Ph.D.","Brno"
"MUDr. Ludmila Pšenčíková","Brno"
"MUDr. Miroslava Navrátilová","Brno"
"Radka Žitná","Brno"
"MUDr. Martin Plachý","Brno"
"MUDr. Věra Kosová","Brno"
"MUDr. Helena Sedláková","Brno"
"MUDr. Helena Sedláková","Brno"
"MUDr. Michal Pohanka","Brno"
"Rudolf Svoboda","Brno"
"Neurologie Šalé s.r.o.","Brno"
"Bc. Simona Pochylá","Brno"
"ELIMATES BRNO s.r.o.","Brno"
"MUDr. Martin Skutil s.r.o.","Brno"
"VVV CLINIC s.r.o.","Brno"
"Stomatologické centrum MUDr. Přívarová s.r.o.","Brno"
"Ondřej Karpíšek, DiS.","Brno"
"MS plus Dent, s.r.o.","Brno"
"Český zubař s.r.o.","Brno"
"ANIRDA s.r.o.","Brno"
"MUDr. Jitka Tesařová, spol. s r.o.","Brno"
"MUDr. Eva Bayerová, s.r.o.","Brno"
"MUDr. Darja DOBŠÍKOVÁ s.r.o.","Brno"
"Klinická psychologie a poradenství Brno s.r.o.","Brno"
"Bohumila Kuderová DiS.","Brno"
"Paincare s.r.o.","Brno"
"MUDr. Dagmar Mergeščíková s.r.o.","Brno"
"Mgr. Roman Koubík","Brno"
"Link-in a.s.","Brno"
"MIMAMED s.r.o.","Brno"
"PhDr. Martina Kosová","Brno"
"MUDr. Marie Charvátová - gynekologie s.r.o.","Brno"
"Mgr. Lenka Jakubíčková","Brno"
"Mgr. Hana Karberová","Brno"
"MUDr. Lucie Kučerová","Brno"
"Práh jižní Morava, z.ú.","Brno"
"Sdružené ordinace Bystrc s.r.o.","Brno"
"MUDr. Ilja Knotek s.r.o.","Brno"
"Luskač s.r.o.","Brno"
"PREV - MED s.r.o.","Brno"
"MEDEA Praktik s.r.o.","Brno"
"MUDr. Tomáš Slanina","Brno"
"MUDr. Jitka Vokurková, Ph.D.","Brno"
"DS radiodiagnostika s.r.o.","Brno"
"MEDIK HAUS s.r.o.","Brno"
"Praktický lékař Brno s.r.o.","Brno"
"AMBUTRANS s.r.o.","Brno"
"synlab czech s.r.o., odběrová místnost","Brno"
"Medikali s.r.o.","Brno"
"Zubní laborka s.r.o.","Brno"
"Filip Momčil","Brno"
"Leonardi MedCz s.r.o., Lékárna Vinohrady","Brno"
"Mgr. Tereza Dvořáková Ph.D.","Brno"
"TriannyMed s.r.o.","Brno"
"MUDr. Radmila Juračková s.r.o.","Brno"
"ESTELA PLASTICKÁ CHIRURGIE s.r.o.","Brno"
"MUDr. Věra Hanáková s.r.o.","Brno"
"Mgr. Renata Schindlerová","Brno"
"MUDr. Dagmar Seidlová","Brno"
"NUTRON, spol. s r.o.","Brno"
"AJEM s.r.o.","Brno"
"PHARCY s.r.o.","Brno"
"GRADUMA s.r.o.","Brno"
"Sdružené ordinace Komín s.r.o.","Brno"
"MUDr. Jitka Filipová s.r.o.","Brno"
"Jipharm s.r.o., LÉKÁRNA VITA","Brno"
"MUDr. Dagmar Seidlová","Brno"
"MUDr. Barbora Peloušková","Brno"
"VOLFOPTIK BRNO s.r.o.","Brno"
"Nikol Otruba Kotasová DiS.","Brno"
"BK CARE s.r.o.","Brno"
"TeamPrevent-Santé, s.r.o.","Brno"
"Akuterapie s.r.o.","Brno"
"FBP 16 a.s., Lékárna Mariánka","Brno"
"Infekce Brno s.r.o.","Brno"
"MUDr. Jiří Tomečka","Brno"
"Fyziobarborka, s.r.o","Brno"
"4D FYZIOTERAPIE s.r.o.","Brno"
"MUDr. Zdeněk Brodecký","Brno"
"MUDr. Denisa Jelínková","Brno"
"MUDr. Eva Šebestová s.r.o.","Brno"
"Praktická lékařka Brno s.r.o.","Brno"
"Czech Medical Center s.r.o.","Brno"
"Biologická celostní medicína s.r.o.","Brno"
"RESMÉ s.r.o.","Brno"
"Mgr. David Janoušek","Brno"
"Chirurgie Brno-Kohoutovice s.r.o.","Brno"
"Jana Bílá DiS.","Brno"
"Mgr. Petra Pospíšilová","Brno"
"Bc. HANA BENEŠOVÁ","Brno"
"NESDENT dentální centrum s.r.o.","Brno"
"Sdružení Veleta, z.s.","Brno"
"Remedis, s.r.o.","Brno"
"Mediclinic a.s.","Brno"
"NESDENT dentální centrum s.r.o.","Brno"
"Effect Art s.r.o.","Brno"
"MUDr. Jan Emmer","Brno"
"MUDr. Roman Hrdina s.r.o.","Brno"
"ÚSMĚV DENT s.r.o.","Brno"
"Mgr. Věra Müllerová","Brno"
"Urocentrum Brno zdravotní služby s.r.o.","Brno"
"Mediclinic a.s.","Brno"
"Klinika Yes Visage a.s.","Brno"
"OVdent s.r.o.","Brno"
"MUDr. Romana Martonová","Brno"
"Mgr. LUCIE FRIDRICHOVÁ","Brno"
"SALIXILAS s.r.o.","Brno"
"Radiologie plus, s.r.o.","Brno"
"MEADERMA s.r.o.","Brno"
"Pro-chirurgie s.r.o.","Brno"
"Chirurgie JT s.r.o.","Brno"
"MUDr. Dagmar Prokešová-praktická lékařka, s.r.o.","Brno"
"GYNATY s.r.o.","Brno"
"MUDr. Libor Streit Ph.D.","Brno"
"MUDr. Petra Trojanová Ph.D.","Brno"
"MUDr. Pavel Novák","Brno"
"MUDr. Roman Malý","Brno"
"MUDr. Antonín Koukal, spol. s r.o.","Brno"
"Aktivní zdraví s.r.o.","Brno"
"MUDr. Jan Mayer, praktický lékař s.r.o.","Brno"
"In manus Dei s.r.o., Lékárna U černého orla","Brno"
"Klinická psychologie Mon-R, s.r.o.","Brno"
"Optika Kocandová s.r.o.","Brno"
"EDPRAKTIK s.r.o.","Brno"
"Dermatologie Brno - Lesná s.r.o.","Brno"
"Agentura domácí péče Pomoc, s.r.o.","Brno"
"Columna centrum s.r.o.","Brno"
"MUDr. Aleš Kleinbauer","Brno"
"GUINOT Ma Vie s.r.o.","Brno"
"UROSPOL Brno s.r.o.","Brno"
"Kristýna Haluzová DiS.","Brno"
"MUDr. Dana Janošková Bogdálková s.r.o.","Brno"
"Intercord LT, s.r.o.","Brno"
"MUDr. Ivana Sedláčková","Brno"
"Dentapiro s.r.o.","Brno"
"MUDr. Veselá Jaroslava s.r.o.","Brno"
"Fakultní nemocnice Brno, odborné ambulance","Brno"
"MUDr. Dalena Krahulcová s.r.o.","Brno"
"Oční ordinace - MUDr. Hanák s.r.o.","Brno"
"KS-Apatyka s.r.o., Lékárna Valentis","Brno"
"MedMed Brno s.r.o.","Brno"
"Dalibor Parák DiS.","Brno"
"MAMICENTRUM s.r.o.","Brno"
"MUDr. KATEŘINA MIHOLOVÁ","Brno"
"Neuron Medical s.r.o., Centrum kardiovaskulární péče, rehabilitace Rašínova","Brno"
"YES VIP s.r.o.","Brno"
"NUTRON, spol. s r.o.","Brno"
"Rehabilitace Jundrov s.r.o.","Brno"
"MUDr. Vladimír Holoubek s.r.o.","Brno"
"NUTRON, spol. s r.o.","Brno"
"MUDr. Vladimír Holoubek s.r.o.","Brno"
"Praktický lékař Masarykova 31 s.r.o.","Brno"
"IFCOR - KLINICKÉ LABORATOŘE, s.r.o.","Brno"
"IFCOR - KLINICKÉ LABORATOŘE, s.r.o., odběrová místnost","Brno"
"IFCOR - KLINICKÉ LABORATOŘE, s.r.o.","Brno"
"IFCOR - KLINICKÉ LABORATOŘE, s.r.o.","Brno"
"IFCOR - KLINICKÉ LABORATOŘE, s.r.o., odběrová místnost","Brno"
"FOX partner, s.r.o.","Brno"
"MUDr. Jana Berková s.r.o.","Brno"
"Nekula fyzioterapie s.r.o.","Brno"
"Vaše klinická logopedie s.r.o.","Brno"
"ORL medicine plus s.r.o.","Brno"
"MUDr. Jana Hudečková s.r.o.","Brno"
"FINIKIA Trade s.r.o., Lékárna Masarova","Brno"
"yvddent s.r.o.","Brno"
"Praktlek s.r.o.","Brno"
"MUDr. Eva Vyskočilová s.r.o.","Brno"
"MUDr. Jana Kopáčková","Brno"
"C4Dent, s.r.o.","Brno"
"KS-Apatyka s.r.o., Lékárna Typos","Brno"
"Ordinace Obřanská s.r.o.","Brno"
"doc. MUDr. HANA JEDLIČKOVÁ Ph.D.","Brno"
"Laserové centrum MUDr. Yvety Štouračové s.r.o.","Brno"
"MUDr. Vendula Valentová","Brno"
"MUDr. Hana Havlová","Brno"
"Michal Navrátil","Brno"
"Michal Navrátil","Brno"
"MUDr. Jana Strmisková s.r.o.","Brno"
"Ocino s.r.o.","Brno"
"SurGal Clinic s.r.o.","Brno"
"Mgr. ŠÁRKA BOCIANOVÁ","Brno"
"Centrum plastické chirurgie SurGal Clinic, a.s.","Brno"
"naše lékárna, s.r.o.","Brno"
"Bc. Markéta Pospíšková","Brno"
"Cerebrovaskulární ambulance s.r.o.","Brno"
"CBP KLINIKA s.r.o.","Brno"
"Stoma 32 s.r.o.","Brno"
"MUDr. Martin Fiala","Brno"
"Ortopedie Křídlovická s.r.o.","Brno"
"Praktik Křídlovická s.r.o.","Brno"
"Praktik MUDr. Kolářová s.r.o.","Brno"
"Kristýna Haluzová DiS.","Brno"
"MDDr. Marek Leško","Brno"
"Klofera M+M s.r.o.","Brno"
"GEMINI oční optika s.r.o.","Brno"
"Mgr. et Bc. Michaela Žváčková","Brno"
"Oftapoint s.r.o.","Brno"
"Cellthera, s.r.o.","Brno"
"SANATORIUM Helios, spol. s r.o.","Brno"
"NOPADENT s.r.o.","Brno"
"Plicní ambulance MUDr. Ilona Binková s.r.o.","Brno"
"RIVODENT CLINIC s.r.o.","Brno"
"MUDr. Dagmar Mrázková s.r.o.","Brno"
"MUDr. Dagmar Mrázková s.r.o.","Brno"
"PLDD Brno - Tuřany, s.r.o.","Brno"
"BENU Česká republika s.r.o., BENU Lékárna","Brno"
"Revma Plus s.r.o.","Brno"
"MEDICOM CLINIC a.s.","Brno"
"MUDr. Jana Hlaváčková","Brno"
"Mgr. Simona Danajová","Brno"
"Ambulance Slatina s.r.o.","Brno"
"LERAM Medical s.r.o.","Brno"
"LERAM Medical s.r.o.","Brno"
"MDDr. Hana Turcu","Brno"
"MUDr. JANA RŮŽIČKOVÁ s.r.o.","Brno"
"Dentalica Brno s.r.o.","Brno"
"ZUBNÍ ORDINACE CONFIDENTIA s.r.o.","Brno"
"ViaRa Salve s.r.o.","Brno"
"Statutární město Brno","Brno"
"Domov pro seniory Mikuláškovo nám., příspěvková organizace","Brno"
"Domov pro seniory Foltýnova, příspěvková organizace","Brno"
"Pomocné ruce, o.p.s.","Brno"
"Sdružení Veleta, z.s.","Brno"
"Domov pro seniory Koniklecová, příspěvková organizace","Brno"
